config_id,X_all,X_key,Y_jsd_niah_single_1,Y_top1_niah_single_1,Y_jsd_ruler_vt,Y_top1_ruler_vt,Y_jsd_mean,w_bits_mean,k_bits_mean,v_bits_mean
0,0.6842676475644112,0.6854138836980387,0.6886841853459676,0.0,0.6873865842819213,0.0,0.6880353848139446,2.0,2.0,2.0
1,0.6814555190503597,0.6826075839293576,0.6888111134370168,0.0,0.6888578653335571,0.0,0.688834489385287,2.0,3.0,3.0
2,0.6819852087646723,0.6833623477692947,0.6891651272773742,0.0,0.6859595119953156,0.0,0.687562319636345,2.0,4.0,4.0
3,0.35745734069496393,0.37010030764029017,0.24151274636387826,0.8333333412806193,0.2246051696439584,0.8527777830759684,0.23305895800391832,3.0,2.0,2.0
4,0.1172756317537278,0.10176376683645634,0.021017305192071945,1.0,0.020090805490811665,0.9805555562178294,0.020554055341441804,3.0,3.0,3.0
5,0.09249853203073144,0.07623779971262351,0.014348383878435319,1.0,0.00729954334286352,1.0,0.010823963610649419,3.0,4.0,4.0
6,0.1730549754574895,0.18584304181940237,0.1317099201201927,0.911111115415891,0.12719103960941236,0.8722222278515498,0.12945047986480251,4.0,2.0,2.0
7,0.023056027479469776,0.02162495627262178,0.0023248292850136447,1.0,0.0008739518965739989,1.0,0.0015993905907938219,4.0,3.0,3.0
8,0.013674566958798096,0.011587295366560951,0.0019292365418550617,1.0,0.0006057228616555222,1.0,0.0012674797017552919,4.0,4.0,4.0
9,0.03712643904145807,0.03693324401995013,0.006358891112419466,1.0,0.019315418092689166,0.9916666666666667,0.012837154602554317,4.0,3.03125,3.125
10,0.06580886093433946,0.07063662071761118,0.018801899259233323,1.0,0.014699264968900632,0.9888888895511627,0.016750582114066978,4.0,3.03125,3.0625
11,0.05078239378053695,0.049930858621007754,0.02172746106904621,1.0,0.006689563082666912,1.0,0.01420851207585656,4.0,2.9375,2.84375
12,0.05048209393862635,0.04890945534766794,0.012469439724615465,1.0,0.007319831859786063,1.0,0.009894635792200764,4.0,2.90625,3.09375
13,0.032082597783301026,0.031270828836711374,0.001868444603496755,1.0,0.002651213539017287,1.0,0.0022598290712570208,4.0,3.21875,3.03125
14,0.06153547193389386,0.06501369359069321,0.037178722047246995,0.9666666686534882,0.04756924335185128,0.9472222248713176,0.04237398269954914,4.0,2.84375,3.15625
15,0.5680837202817202,0.5738318395113581,0.6429066052039464,0.055555557211240135,0.6025504608949025,0.33055556416511533,0.6227285330494244,2.9419642857142856,4.0,4.0
16,0.5334668662399054,0.5238030733353576,0.5625857929388682,0.15555556019147238,0.5681423614422481,0.36388889849185946,0.5653640771905581,2.9107142857142856,4.0,4.0
17,0.5096104210242629,0.5120050206243602,0.5087710708379746,0.23333334028720856,0.5850517799456915,0.3694444537162781,0.546911425391833,2.982142857142857,4.0,4.0
18,0.52851727232337,0.5294127792331459,0.6211601336797078,0.08888889153798421,0.6564469893773397,0.12500000298023223,0.6388035615285238,2.986607142857143,4.0,4.0
19,0.5316255996003747,0.5399019870191292,0.6140482515096665,0.10000000298023223,0.5734673003355663,0.29722222983837127,0.5937577759226164,3.044642857142857,4.0,4.0
20,0.28221511421725154,0.24128390843756334,0.2369334081808726,0.8666666736205418,0.19045374790827432,0.8805555611848831,0.21369357804457348,3.0535714285714284,4.0,4.0
21,0.5085490429773927,0.5237836292558492,0.663403203090032,0.0,0.5919304052988689,0.23055556118488313,0.6276668041944504,2.9107142857142856,2.96875,2.96875
22,0.6240335572510958,0.6312264776971663,0.6572271804014842,0.0,0.5736075480779012,0.33055556416511533,0.6154173642396927,3.03125,2.9375,3.0
23,0.43469568248838186,0.4511351552446206,0.4564567724863688,0.4000000089406967,0.4374432782332102,0.5055555671453476,0.4469500253597895,2.9642857142857144,3.0625,2.9375
24,0.4588609617203474,0.48117177485280943,0.5615383853514989,0.21111111640930175,0.6110416044791539,0.13611111442248028,0.5862899949153264,2.9464285714285716,2.90625,3.125
25,0.49572248943150043,0.5101969251856533,0.5964518407980601,0.10000000298023223,0.5210706134637196,0.3805555641651154,0.5587612271308899,3.0535714285714284,3.09375,2.8125
26,0.547381941229105,0.5602695756636592,0.6239611804485321,0.07777778009573619,0.6380133668581645,0.2638888955116272,0.6309872736533483,3.1026785714285716,2.875,3.09375
27,0.34593199007213116,0.3511320107482276,0.45015129645665486,0.48888890047868094,0.4619585037231445,0.4805555671453476,0.4560549000898997,3.0535714285714284,2.875,3.15625
28,0.429558414965868,0.4483945928351327,0.4685768783092499,0.3777777890364329,0.5200376103321711,0.45833334426085154,0.4943072443207105,2.96875,3.25,2.9375
29,0.3370071444660425,0.34042524258447526,0.4405377835035324,0.5888889004786809,0.3861753433942795,0.6638888994852702,0.4133565634489059,3.0,2.9375,3.03125
